"","l1.t.0.580472279743976","l1.t.0.473299333927341","l1.t.0.366126388110706","l1.t.0.258953442294071","l1.t.0.151780496477436","l1.t.0.0446075506608015","l1.t0.0625653951558334","l1.t0.169738340972468","l1.t0.276911286789103","l1.t0.384084232605738","l1.t0.491257178422373","l1.t0.598430124239008","l1.t0.705603070055643","l1.t0.812776015872277","l1.t0.919948961688912","l1.t1.02712190750555","l1.t1.13429485332218","l1.t1.24146779913882","l1.t1.34864074495545","l1.t1.45581369077209"
"Dhrs3",0.765165511836947,0.658544854312838,0.561688991730923,0.481483327026669,0.394060354861919,0.256086839465151,0.0765356568112079,-0.0888566307506356,-0.213657928147923,-0.329666102626802,-0.466214405952334,-0.626436604422007,-0.808670375249237,-1.01125339564744,-1.23252334283003,-1.47081789401043,-1.72447472640205,-1.99183151721832,-2.27122594367265,-2.56099568297845
"Galnt12",1.42092641024134,1.28424057211454,1.13972845728718,0.978117364383495,0.763467844979339,0.445643097183465,0.0704101518634546,-0.231218709890872,-0.389378889557804,-0.454902102918279,-0.47815376359898,-0.468858864115082,-0.429302744004379,-0.361770742804665,-0.268548200053741,-0.151920455289389,-0.0141728480494146,0.142409282128395,0.315540595706244,0.502935753146339
"Rnase1",1.27925314597798,1.17938111785647,1.09527614393856,1.0389747336242,0.985415359258187,0.884830462252499,0.727481340977677,0.539758380806633,0.341471797987268,0.137666607828215,-0.0689698579969524,-0.277886445369492,-0.488923049753111,-0.70191956661151,-0.916715891408394,-1.13315191960747,-1.35106754667244,-1.570302668067,-1.79069717925486,-2.01209097569973
"Gm15675",0.625712892924205,0.593103088885819,0.580934801185882,0.603870211911366,0.615588343182776,0.529782234783476,0.337758042681895,0.100684422583382,-0.136448376999339,-0.363703548710097,-0.576593856166093,-0.775268691661836,-0.96072623073277,-1.13396464891434,-1.29598212174198,-1.44777682475115,-1.59034693347729,-1.72469062345584,-1.85180607022225,-1.97269144931196
"Gap43",0.0882695946162055,-0.204765223743156,-0.340796990277508,-0.194648866501459,0.062180836376468,0.0630495347289524,-0.192748953151259,-0.377176112055603,-0.322899220561662,-0.18668326534137,-0.116829242869341,-0.131280716118566,-0.224117960188755,-0.389421250179617,-0.621270861190866,-0.913747068322211,-1.26093014667336,-1.65690037134404,-2.09573801743395,-2.5715233600428
"Gm10419",-0.726924454118946,-0.591993570606957,-0.457062774917572,-0.322131818766845,-0.187195937155205,-0.0522476671267881,0.0827097376232113,0.217663422517605,0.352601616533208,0.487515222395801,0.62239787428144,0.757250376626019,0.892074846456283,1.02687340079896,1.16164815668081,1.29640123112857,1.43113474116897,1.56585080382877,1.7005515361347,1.8352390551135
"Larp6",1.48423128343253,1.33540352324327,1.16840869711735,0.966590053842601,0.717926692135713,0.417192896336199,0.124044328478121,-0.0448776544673971,-0.0530772933311455,-0.0186382256880625,-0.0454307585339053,-0.145196110303758,-0.312810308835014,-0.543149381965104,-0.831089357531433,-1.17150626337142,-1.55927612732249,-1.98927497722204,-2.45637884090749,-2.95546374621625
"Hoxa10",-0.151780209844042,0.0546922286888208,0.210832786587912,0.272094994848293,0.228660546812893,0.0980456542351157,-0.0604192655326975,-0.151227568878888,-0.140521976475787,-0.112847054256676,-0.143026292748959,-0.238747406459397,-0.395408205845984,-0.608406501366756,-0.873140103479709,-1.18500682264285,-1.53940446931421,-1.93173085395179,-2.35738378701358,-2.81176107895764
"Lef1",-2.46977046677775,-1.88454237544151,-1.2958238032586,-0.704495916096005,-0.168118446020561,0.219974483618283,0.464764585936891,0.659255652000278,0.856532953195494,1.02875684075291,1.14819360531613,1.21374982416716,1.22920885692408,1.19835406320494,1.12496880262785,1.01283643481085,0.865740319372045,0.687463815929494,0.481790284101276,0.252503083505465
"Cadps",-1.14696219749942,-0.967947570064239,-0.788932858510923,-0.609918288407107,-0.430908244165343,-0.251910092299083,-0.0729307160699084,0.106023526704807,0.284950076704788,0.463853488892406,0.642738179679182,0.82160584305561,1.00045767464464,1.17929487006922,1.35811862495229,1.53693013491679,1.71573059558567,1.89452120258188,2.07330315152834,2.25207763804802
"Cpq",1.5809769272777,1.27050206815919,0.974286652641314,0.703797851869755,0.444901215260621,0.167227131149631,-0.11661585036544,-0.355623741731115,-0.526495677203775,-0.660596072973684,-0.787032910452159,-0.910487222870802,-1.03116843581582,-1.14928597487344,-1.26504926562986,-1.37866773367129,-1.49035080458397,-1.60030790395409,-1.70874845736786,-1.81588189041151
"Lyz2",-1.35157861357078,-1.52485399109359,-1.48915161144031,-1.07092389269478,-0.396761650340677,0.199932725152569,0.579001993519902,0.776888884117866,0.8457298841147,0.855557810509935,0.862236987859048,0.87410367111029,0.890793606336958,0.911942539612349,0.937186217009753,0.96616038460247,0.998500788463798,1.03384317466703,1.07182328928546,1.11207687839238
"Car4",-0.209922046760327,0.26012428431139,0.657413520851682,0.917515979788425,1.02571557399496,1.00359114413622,0.879153817596102,0.685381910771849,0.450219321895712,0.191803877444002,-0.076499465385614,-0.352184559653974,-0.634733076900689,-0.923626688665364,-1.21834706648761,-1.51837588190704,-1.82319480646326,-2.13228551169588,-2.4451296691445,-2.76120895034875
"Ncam1",-1.61068486051621,-1.68120495616413,-1.58370055213952,-1.17826289532053,-0.561229940296829,0.00905400562467513,0.441061284190576,0.794980279243684,1.10094833853313,1.32255838360801,1.42760873785895,1.41792635631895,1.30156748997295,1.08658838980588,0.781045306802677,0.392994491948284,-0.0695078037723693,-0.598405329374346,-1.18564183387271,-1.82316106628252
"Zyx",1.00016524683734,0.194339327712458,-0.272582242955498,-0.126539135400449,0.318830536289464,0.358987845565093,-0.0673116747091952,-0.441992358274695,-0.480383495160024,-0.375240254847049,-0.316195895097336,-0.328366468536697,-0.406751437422424,-0.546350264011808,-0.742162410562147,-0.989187339330731,-1.28242451257486,-1.61687339255181,-1.98753344151889,-2.38940412173339
"Pmepa1",-0.733269467191898,-1.03334388398197,-1.12271939512517,-0.82855692547773,-0.309849145957278,0.0515136707600655,0.195709826163206,0.353512657590496,0.640370609777276,0.935555982923715,1.12678857834298,1.20349232835073,1.17370916725011,1.04548102934427,0.826849848936328,0.525857560329444,0.150546097826733,-0.291042604268651,-0.790866611653576,-1.34088399002491
"Ptn",-0.612572364811723,-0.480756376888024,-0.317573174777906,-0.0997231973216397,0.113459119232727,0.208188832293441,0.170792154454139,0.0777215369957049,-0.0202877210907265,-0.126839040768411,-0.249148453695835,-0.387387091298293,-0.54043644253277,-0.707177996356251,-0.886493241725718,-1.07726366759816,-1.27837076293056,-1.4886960166799,-1.70712091780317,-1.93252695525735
"Krt79",-0.0502328112190186,0.011335096416317,0.153632378897731,0.443185971893036,0.823530721703356,1.15011482182586,1.29465428724254,1.14613743675327,0.702924562347006,0.168059007470874,-0.284748699467865,-0.63472294123739,-0.889084431257837,-1.05505388294932,-1.13985200973199,-1.15069952502597,-1.09481714225138,-0.979425574828355,-0.811745536177026,-0.598997739717526
"Slc10a6",1.39318217822311,1.06425623993971,0.825785838176305,0.746484089620386,0.677581420572401,0.329175037910302,-0.284184577075012,-0.874608807155216,-1.26082421398901,-1.48022185363254,-1.58225013494685,-1.58070762097816,-1.48286679865671,-1.29600015491272,-1.02738017667643,-0.684279350878063,-0.273970164447857,0.196274895683961,0.71918334258716,1.28748268933151
"Galnt18",-0.00160311331471448,-0.0746006301459546,-0.148472140272662,-0.223874663678977,-0.299269626488469,-0.371578452044972,-0.438625065029439,-0.499070725688005,-0.551773336355292,-0.595906040159238,-0.630988448239383,-0.657457454375474,-0.675917870502111,-0.686974508553888,-0.691232180465406,-0.689295698171266,-0.681769873606058,-0.669259518704386,-0.652369445400845,-0.631704465630037
"Twist1",1.82303859002708,1.36498567778836,0.954211925814534,0.632791785537685,0.413319009264945,0.287596054349254,0.257407016601311,0.33350761294741,0.489425852325305,0.62804840651471,0.66948150713585,0.60750069082752,0.449367428907177,0.202343192692272,-0.126310546499734,-0.529332317351392,-0.999460648545245,-1.52943406876383,-2.1119911066897,-2.7398702910054
"Galr2",0.373557420499089,0.342618211069011,0.301653040528725,0.248732018386372,0.28375264796108,0.566091778703204,0.988176060151645,1.20481343843729,1.04756943006847,0.696315800659709,0.320677225488499,-0.053203797353941,-0.42545067887653,-0.796186830088187,-1.16553566199782,-1.53362058561436,-1.90056501194671,-2.2664923520038,-2.63152601679453,-2.99578941732783
"Susd2",2.02139814866505,1.51600689049931,1.0809830279826,0.78031779508338,0.652853955811873,0.711323199522813,0.819123810398291,0.708499994991935,0.274286970798346,-0.274055522291053,-0.748306777642578,-1.1251253982523,-1.41135286448927,-1.61383065672257,-1.73940025532127,-1.79490314065445,-1.78718079309117,-1.72307469300052,-1.60942632075156,-1.45307715671335
"Tnfrsf11b",0.39862370477028,0.14113180748009,-0.044603819609723,-0.101703856466355,-0.113407385905265,-0.254925785546727,-0.524993096959187,-0.763756636791634,-0.879330139019948,-0.918188118819474,-0.928627583195643,-0.919295256558898,-0.891579465525206,-0.846868536710541,-0.786550796730871,-0.712014572202171,-0.624648189740407,-0.525839975961557,-0.416978257481589,-0.299451360916474
"Smoc2",1.18652739019206,0.860502767406123,0.608599435382211,0.49140915777041,0.449906613073698,0.345367508400085,0.167417278545603,0.0212052405572262,-0.0450445958898043,-0.0978471307677428,-0.197893226360378,-0.351400791778468,-0.55461589388368,-0.803784599537679,-1.09515297560212,-1.42496708893869,-1.78947300640903,-2.18491679487482,-2.60754452119772,-3.0536022522394
"Rac2",-0.147460644249054,0.00585818361256907,0.150344864778831,0.279039716952584,0.402794499154588,0.54404967064583,0.700879636610801,0.84941343952343,0.967422232845998,1.03721708489538,1.04637039417871,0.996464489750146,0.891646364578658,0.73606301163322,0.533861423882808,0.289188594296393,0.00619151584294394,-0.310982818508566,-0.658187415789166,-1.03127528302987
"Esr1",0.981452263412654,0.858941517761622,0.743135238472284,0.636324409113345,0.48638162891808,0.209285920585224,-0.138332636609474,-0.374724428130632,-0.420831223749211,-0.399095818484363,-0.421046253402145,-0.500525314469147,-0.633493482816739,-0.815911239576297,-1.04373906587919,-1.3129374428568,-1.61946685164049,-1.95928777336164,-2.32836068915162,-2.72264608014181
"Bdh2",1.87817203936507,1.6294078346169,1.3893897326957,1.16025970073511,0.861597196489381,0.364249240018067,-0.254029987698296,-0.731206341867562,-0.936337885199687,-0.997335104986701,-1.03585389903199,-1.07092337447919,-1.10278573401058,-1.13168318030843,-1.15785791605499,-1.18155214393257,-1.20300806662344,-1.22246788680986,-1.2401738071741,-1.25636803039845
